iter	RMSE
0	0.232828456
1	0.2166724612
2	0.2027272839
3	0.1903860952
4	0.1796908792
5	0.1702298807
6	0.1620736507
7	0.1547671796
8	0.1484581139
9	0.1430759849
10	0.1384846228
11	0.1345643924
12	0.1311668716
13	0.1283193267
14	0.1259630817
15	0.1238911885
16	0.1221032441
17	0.1206631469
18	0.1193492312
19	0.1182597974
20	0.1172918209
21	0.1164219975
22	0.115662426
23	0.1150446938
24	0.1145206027
25	0.1140387229
26	0.1136152713
27	0.1132358312
28	0.1128959983
29	0.1126000977
30	0.1123875905
31	0.1121836259
32	0.1119810709
33	0.1118248621
34	0.1116972856
35	0.111577288
36	0.1114795987
37	0.1113825325
38	0.1112784941
39	0.1111903715
40	0.1111116224
41	0.1110400829
42	0.1109763844
43	0.1109198993
44	0.1108726968
45	0.1108275872
46	0.1107917108
47	0.110753416
48	0.1107208036
49	0.1106928323
50	0.1106594927
51	0.1106078711
52	0.1105859715
53	0.1105617837
54	0.1105302178
55	0.1105122317
56	0.1104912043
57	0.1104715942
58	0.1104472581
59	0.1104251397
60	0.1104088395
61	0.1103890985
62	0.1103762218
63	0.1103558175
64	0.1103413165
65	0.1103287693
66	0.1103050782
67	0.1102910135
68	0.1102788297
69	0.1102656225
70	0.110255147
71	0.1102336538
72	0.1102180927
73	0.1101961606
74	0.1101825778
75	0.1101707775
76	0.110159821
77	0.1101521507
78	0.1101420127
79	0.1101340461
80	0.110100321
81	0.1100935751
82	0.110083448
83	0.1100695022
84	0.1100590236
85	0.1100373224
86	0.11002491
87	0.1100125993
88	0.1099999477
89	0.1099667292
90	0.1099541988
91	0.1099460488
92	0.1099282905
93	0.1099246414
94	0.1099172852
95	0.1099047791
96	0.1098959011
97	0.1098867159
98	0.1098804624
99	0.1098501225
100	0.1098384105
101	0.1098301401
102	0.1098247059
103	0.1098114749
104	0.1098028006
105	0.1097866823
106	0.1097766581
107	0.109764002
108	0.1097507277
109	0.109738671
110	0.109731505
111	0.1097207046
112	0.1097099514
113	0.1097052834
114	0.1096870609
115	0.1096784137
116	0.1096685311
117	0.1096570445
118	0.1096509963
119	0.1096373589
120	0.1096204962
121	0.10961298
122	0.1095970845
123	0.1095852096
124	0.1095752409
125	0.109551946
126	0.1095421151
127	0.1095321002
128	0.1095240895
129	0.1095121607
130	0.109490349
131	0.1094773592
132	0.1094675851
133	0.1094584889
134	0.1094503814
135	0.1094325554
136	0.1094259752
137	0.1094170799
138	0.1093944345
139	0.1093705185
140	0.1093653727
141	0.1093552291
142	0.1093464188
143	0.109336641
144	0.1093292184
145	0.1093224479
146	0.1093127763
147	0.1092990811
148	0.1092895631
149	0.109276684
150	0.109255268
151	0.109239552
152	0.1092217151
153	0.1091946767
154	0.1091801621
155	0.1091724013
156	0.1091635335
157	0.1091410501
158	0.1091295664
159	0.1091165433
160	0.1091007737
161	0.1090774625
162	0.1090626871
163	0.1090443884
164	0.1090367876
165	0.1090304964
166	0.109007652
167	0.1089968318
168	0.1089877841
169	0.1089785241
170	0.1089697538
171	0.1089634561
172	0.1089491515
173	0.108940769
174	0.1089249963
175	0.1089087477
176	0.1089032504
177	0.1088937993
178	0.1088825202
179	0.1088729549
180	0.1088635668
181	0.1088536811
182	0.108844311
183	0.1088360582
184	0.1088271183
185	0.1088132467
186	0.1088076163
187	0.1087999666
188	0.1087836982
189	0.108777358
190	0.1087583713
191	0.108729145
192	0.1087223674
193	0.1087089565
194	0.1086935092
195	0.108685363
196	0.1086733488
197	0.1086633107
198	0.108657382
199	0.1086548238
200	0.1086508352
201	0.1086442701
202	0.1086372963
203	0.108617161
204	0.1086138278
205	0.1085994497
206	0.1085909486
207	0.108576181
208	0.1085628879
209	0.1085574163
210	0.108547776
211	0.1085375957
212	0.1085324873
213	0.1085217167
214	0.1085190006
215	0.1085058478
216	0.1084849928
217	0.1084796684
218	0.1084620665
219	0.1084525867
220	0.1084398328
221	0.1084363168
222	0.1084231806
223	0.1084146279
224	0.1083984354
225	0.1083892957
226	0.1083779918
227	0.1083689624
228	0.1083545689
229	0.1083456687
230	0.1083291501
231	0.1083154856
232	0.1083000671
233	0.1082954421
234	0.1082862203
235	0.1082720311
236	0.1082590192
237	0.1082447631
238	0.1082380441
239	0.1082281663
240	0.1082232951
241	0.1082202747
242	0.1082129797
243	0.1082023004
244	0.1081902725
245	0.1081826745
246	0.108159118
247	0.1081465526
248	0.1081373111
249	0.1081331897
250	0.1081177968
251	0.1081054809
252	0.1080905369
253	0.1080821024
254	0.1080634323
255	0.1080514531
256	0.108041885
257	0.1080376497
258	0.1080311293
259	0.1080282052
260	0.1080160979
261	0.1080120932
262	0.1080014789
263	0.1079919971
264	0.1079867384
265	0.1079779151
266	0.1079645678
267	0.1079519858
268	0.1079446519
269	0.1079367866
270	0.1079267821
271	0.1079108814
272	0.1079055933
273	0.1078884817
274	0.107876874
275	0.1078660178
276	0.107858815
277	0.1078457383
278	0.1078387863
279	0.1078284204
280	0.1078193687
281	0.10780801
282	0.1077998237
283	0.1077905984
284	0.1077784057
285	0.107767737
286	0.1077611359
287	0.1077504624
288	0.1077443278
289	0.1077354834
290	0.1077297731
291	0.1077221394
292	0.1077159837
293	0.1077105007
294	0.1077030624
295	0.1076920504
296	0.1076861713
297	0.1076798314
298	0.1076718213
299	0.1076656027
300	0.1076576467
301	0.1076488903
302	0.1076424925
303	0.1076342782
304	0.107630221
305	0.107625437
306	0.1076185827
307	0.1076123802
308	0.1076053036
309	0.107600101
310	0.1075944509
311	0.1075834636
312	0.1075771379
313	0.107565669
314	0.1075527444
315	0.1075403076
316	0.1075150217
317	0.1075119769
318	0.1075042078
319	0.1074927731
320	0.1074877346
321	0.1074792198
322	0.1074699279
323	0.1074602051
324	0.1074575713
325	0.107453298
326	0.1074451573
327	0.1074364491
328	0.1074339307
329	0.1074231253
330	0.1074183569
331	0.1074054025
332	0.1073983756
333	0.1073950046
334	0.1073844705
335	0.1073769937
336	0.1073679929
337	0.1073600304
338	0.1073469478
339	0.107342526
