iter	Passed	Remaining
0	158	78860
1	164	40906
2	169	28074
3	174	21667
4	179	17805
5	184	15195
6	189	13337
7	193	11929
8	198	10840
9	204	9997
10	209	9305
11	214	8708
12	219	8214
13	223	7774
14	228	7383
15	232	7046
16	237	6742
17	241	6474
18	246	6234
19	250	6021
20	255	5822
21	259	5644
22	264	5479
23	268	5333
24	273	5199
25	278	5072
26	282	4951
27	286	4836
28	291	4730
29	295	4632
30	300	4540
31	304	4453
32	308	4371
33	313	4293
34	317	4221
35	322	4153
36	327	4092
37	331	4033
38	336	3971
39	340	3917
40	344	3861
41	349	3807
42	353	3756
43	357	3709
44	362	3662
45	366	3618
46	371	3576
47	375	3535
48	379	3495
49	384	3458
50	388	3423
51	393	3390
52	398	3357
53	403	3328
54	408	3303
55	412	3271
56	416	3240
57	421	3211
58	425	3182
59	430	3155
60	434	3128
61	438	3100
62	443	3074
63	447	3050
64	452	3025
65	456	3001
66	460	2977
67	465	2955
68	469	2932
69	473	2910
70	478	2889
71	482	2868
72	486	2848
73	491	2828
74	495	2808
75	499	2788
76	504	2769
77	508	2751
78	512	2733
79	517	2714
80	521	2698
81	526	2684
82	531	2668
83	535	2652
84	540	2639
85	545	2627
86	550	2614
87	555	2602
88	560	2588
89	566	2578
90	571	2566
91	575	2554
92	581	2543
93	586	2531
94	591	2520
95	596	2508
96	601	2497
97	606	2486
98	610	2472
99	615	2460
100	619	2448
101	624	2435
102	628	2423
103	633	2410
104	637	2398
105	642	2386
106	646	2375
107	651	2364
108	655	2352
109	659	2339
110	664	2328
111	668	2317
112	673	2305
113	677	2293
114	681	2282
115	686	2271
116	690	2261
117	695	2251
118	700	2241
119	704	2231
120	709	2221
121	713	2211
122	718	2201
123	722	2191
124	726	2180
125	731	2171
126	735	2161
127	740	2151
128	744	2141
129	749	2132
130	753	2123
131	758	2113
132	762	2104
133	767	2095
134	771	2085
135	775	2076
136	780	2066
137	784	2058
138	790	2052
139	794	2043
140	798	2034
141	803	2025
142	807	2016
143	812	2007
144	816	1999
145	820	1990
146	825	1982
147	830	1974
148	834	1966
149	839	1957
150	843	1950
151	849	1944
152	853	1936
153	858	1928
154	863	1921
155	867	1913
156	872	1905
157	876	1897
158	881	1890
159	886	1882
160	891	1876
161	895	1868
162	900	1861
163	904	1853
164	908	1845
165	913	1837
166	918	1830
167	922	1823
168	927	1817
169	932	1809
170	936	1802
171	940	1794
172	945	1787
173	949	1779
174	954	1772
175	959	1766
176	964	1759
177	968	1752
178	973	1746
179	978	1740
180	983	1733
181	988	1727
182	993	1721
183	998	1715
184	1004	1711
185	1010	1705
186	1015	1699
187	1020	1692
188	1025	1687
189	1030	1681
190	1035	1675
191	1041	1670
192	1046	1663
193	1051	1658
194	1056	1652
195	1061	1646
196	1066	1640
197	1071	1634
198	1076	1628
199	1081	1622
200	1088	1618
201	1094	1615
202	1101	1611
203	1107	1607
204	1113	1602
205	1120	1599
206	1126	1594
207	1132	1589
208	1139	1585
209	1144	1580
210	1149	1574
211	1154	1568
212	1159	1562
213	1164	1556
214	1169	1550
215	1175	1545
216	1180	1539
217	1185	1533
218	1190	1527
219	1195	1521
220	1200	1515
221	1205	1509
222	1211	1504
223	1216	1498
224	1221	1492
225	1226	1487
226	1231	1481
227	1236	1475
228	1242	1469
229	1247	1464
230	1252	1458
231	1258	1453
232	1263	1447
233	1268	1441
234	1273	1435
235	1278	1430
236	1284	1425
237	1289	1419
238	1294	1413
239	1299	1408
240	1304	1402
241	1309	1396
242	1315	1390
243	1320	1385
244	1325	1379
245	1330	1373
246	1335	1368
247	1341	1362
248	1346	1357
249	1351	1351
250	1356	1345
251	1361	1340
252	1367	1334
253	1372	1329
254	1377	1323
255	1382	1318
256	1388	1312
257	1393	1306
258	1398	1301
259	1403	1295
260	1409	1290
261	1413	1284
262	1419	1279
263	1424	1273
264	1429	1267
265	1435	1262
266	1440	1256
267	1445	1251
268	1450	1245
269	1455	1239
270	1460	1234
271	1465	1228
272	1470	1222
273	1475	1216
274	1480	1211
275	1485	1205
276	1489	1199
277	1494	1193
278	1499	1188
279	1505	1182
280	1510	1177
281	1515	1171
282	1521	1166
283	1525	1160
284	1530	1154
285	1535	1148
286	1539	1142
287	1544	1136
288	1549	1130
289	1553	1125
290	1558	1119
291	1563	1113
292	1568	1107
293	1572	1101
294	1577	1096
295	1581	1090
296	1586	1084
297	1591	1078
298	1595	1072
299	1600	1066
300	1604	1060
301	1609	1054
302	1613	1049
303	1618	1043
304	1623	1037
305	1627	1031
306	1632	1026
307	1636	1020
308	1641	1014
309	1645	1008
310	1650	1002
311	1654	997
312	1659	991
313	1663	985
314	1669	980
315	1675	975
316	1681	970
317	1687	965
318	1692	960
319	1698	955
320	1703	949
321	1708	944
322	1714	939
323	1719	934
324	1723	928
325	1728	922
326	1733	916
327	1737	911
328	1742	905
329	1746	899
330	1750	893
331	1755	888
332	1760	882
333	1764	876
334	1769	871
335	1773	865
336	1778	860
337	1782	854
338	1787	849
339	1792	843
340	1796	837
341	1801	832
342	1806	826
343	1812	821
344	1817	816
345	1822	811
346	1827	805
347	1832	800
348	1838	795
349	1843	790
350	1848	784
351	1853	779
352	1859	774
353	1863	768
354	1868	763
355	1873	757
356	1878	752
357	1883	747
358	1889	741
359	1894	736
360	1899	731
361	1904	726
362	1909	720
363	1914	715
364	1919	710
365	1924	704
366	1929	699
367	1934	693
368	1939	688
369	1944	683
370	1949	677
371	1954	672
372	1960	667
373	1965	662
374	1970	656
375	1975	651
376	1980	646
377	1985	640
378	1990	635
379	1995	630
380	1999	624
381	2005	619
382	2010	614
383	2015	608
384	2020	603
385	2025	598
386	2030	592
387	2035	587
388	2040	582
389	2045	577
390	2050	571
391	2055	566
392	2060	560
393	2065	555
394	2070	550
395	2075	545
396	2080	539
397	2085	534
398	2090	529
399	2095	523
400	2100	518
401	2105	513
402	2110	508
403	2115	502
404	2120	497
405	2125	492
406	2130	486
407	2135	481
408	2139	476
409	2144	470
410	2150	465
411	2154	460
412	2160	455
413	2165	449
414	2170	444
415	2176	439
416	2181	434
417	2186	428
418	2190	423
419	2195	418
420	2199	412
421	2204	407
422	2209	402
423	2213	396
424	2218	391
425	2222	386
426	2226	380
427	2231	375
428	2235	370
429	2240	364
430	2244	359
431	2248	353
432	2253	348
433	2259	343
434	2264	338
435	2269	333
436	2274	327
437	2280	322
438	2284	317
439	2290	312
440	2295	307
441	2300	301
442	2305	296
443	2310	291
444	2316	286
445	2321	281
446	2326	275
447	2332	270
448	2337	265
449	2342	260
450	2348	255
451	2353	249
452	2358	244
453	2363	239
454	2369	234
455	2374	229
456	2379	223
457	2385	218
458	2390	213
459	2395	208
460	2400	203
461	2405	197
462	2411	192
463	2416	187
464	2421	182
465	2426	177
466	2431	171
467	2436	166
468	2441	161
469	2446	156
470	2450	150
471	2455	145
472	2460	140
473	2465	135
474	2470	130
475	2474	124
476	2480	119
477	2485	114
478	2489	109
479	2494	103
480	2500	98
481	2505	93
482	2510	88
483	2515	83
484	2520	77
485	2525	72
486	2530	67
487	2534	62
488	2539	57
489	2544	51
490	2549	46
491	2554	41
492	2559	36
493	2564	31
494	2568	25
495	2573	20
496	2577	15
497	2582	10
498	2587	5
499	2592	0
